City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
678,Brzeziny,PL,51.8002,19.7514,44.19,66,56,3.38,broken clouds
679,Mwense,ZM,-10.3845,28.698,74.53,76,91,5.26,overcast clouds
680,Susuman,RU,62.7833,148.1667,-39.1,100,64,1.14,broken clouds
681,Kuito,AO,-12.3833,16.9333,70.9,69,100,0.67,light rain
682,Ayan,RU,56.45,138.1667,-0.08,99,95,4.03,overcast clouds
683,Catamarca,AR,-28.4696,-65.7852,81.77,56,0,1.99,clear sky
684,Rawson,AR,-43.3002,-65.1023,67.93,37,6,10.4,clear sky
685,Nadym,RU,65.5333,72.5167,6.22,95,100,16.02,light snow
686,Asfi,MA,32.2994,-9.2372,60.71,69,86,6.78,overcast clouds
687,Roma,US,43.2128,-75.4557,39.72,94,100,1.99,overcast clouds
688,Sorland,NO,67.667,12.6934,37.26,81,100,35.1,overcast clouds
689,Beian,NO,63.6559,9.5683,42.01,70,75,32.21,broken clouds
